Beruf,Lehrbetrieb,Strasse,PLZ,Ort,Kontaktperson,Telefon,Email,Homepage,Erreichbarkeit,D/F,SL,BM,LS,IV,ZB,Anzahl,Bewerbung bis
Fachmann/frau Hauswirtschaft EFZ,Stiftung Rüttihubelbad Personalwesen,Rüttihubel 29,3512,Walkringen,Regina Rüfenacht,031 700 82 00,bewerbung@ruettihubelbad.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Seniorama Oberhofen Christine Dängeli,Alpenstrasse 25,3653,Oberhofen am Thunersee,Christine Dängeli,033 243 00 24,ch.daengeli@seniorama-oberhofen.ch,,Montag bis Freitag,D,E,False,False,False,False,2.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Solina Spiez HR,,,,Friedrich Dähler,033 655 44 65,friedrich.daehler@solina.ch,https://www.solina.ch/de/arbeiten/ausbildung.html,,D,E,True,True,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Solina Steffisburg Personaldienst,,,,Friedrich Dähler,033 655 43 65,friedrich.daehler@solina.ch,https://www.solina.ch/de/arbeiten/ausbildung.html,,D,E,True,True,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Stiftung WBM Werkstätte Frau Sibylle Käser,Unterdorfstrasse 62,4934,Madiswil,Sibylle Käser,062 957 99 12,info@wbm-madiswil.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Universitäre Psych. Dienste Bern (UPD) AG Dienste u. Betriebe,,,,Christine Dubulluit,031 930 95 10,bewerbungen@upd.ch,https://jobs.upd.ch/offene-stellen/lehrstelle-als-fachfrau-fachmann-hauswirtschaft-efz/0f48f47b-42ed-45d1-bac6-3f5fa38dd71f,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Wohn- und Pflegeheim Grünau AG,Seftigenstrasse 307,3084,Wabern,Melanie Melanie Liechti,031 963 72 03,m.liechti@gruenau-wph.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Wohnpark Buchegg Burgdorf AG,Bernstrasse 16,3400,Burgdorf,Ursula Marti,034 420 43 04,bewerbung@buchegg.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fahrradmechaniker/in EFZ,knipp cycling,Moosgasse 2,2565,Jens,Niels Knipp,0325436634,info@knippcycling.ch,,Dienstag - Freitag 08.00 - 18.30 Uhr,D,M,False,True,False,True,1.0,31.07.2023
Fahrzeugschlosser/in EFZ,Fankhauser AG Fahrzeugbau,Walke 1,4938,Rohrbach,Pirmin Kappeler,062 962 33 77,kappeler@fankhauser-fahrzeugbau.ch,http://www.fankhauser-fahrzeugbau.ch/,,D,E,False,False,False,True,1.0,31.05.2023
Fassadenbauer/in EFZ,Bauimpuls AG,Jägerweg 3,3627,Heimberg,Heidi Wenigerkind,033 439 71 00,hwenigerkind@bauimpuls.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fassadenbauer/in EFZ,Ediltecnica AG Stefan Kesselring ,Grubenstrasse  109,3322,Urtenen-Schönbühl,Stefan Kesselring,031 850 40 30,stefan.kesselring@ediltecnica.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Fassadenbauer/in EFZ,Guggisberg Dachtechnik AG,Seftigenstrasse 312,3084,Wabern,Karina Schilt,031 960 16 21,k.schilt@guggisberg-bern.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fassadenbauer/in EFZ,Jörg AG Bedachungen,Lorraineweg 9,3315,Bätterkinden,Dino Lustenberger,032 665 38 30,info@joergag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fassadenbaupraktiker/in EBA,Karina Schilt,Seftigenstrasse 312,3084,Utzigen,Karina Schilt,031 960 16 21,k.schilt@guggisberg-bern.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Gerüstbauer/in EFZ,Lawil Gerüstbau AG,Murtenstrasse 30,3202,Frauenkappelen,Philippe Mathys,031 920 00 30,west@lawil.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Gerüstbauer/in EFZ,Menz Gerüste AG,Schenkstrasse 14,3380,Wangen an der Aare,Urs Schürch,032 631 02 92,urs.schuerch@menz.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Gerüstbauer/in EFZ,Wenker Bedachungen GmbH,Wittenmattstrasse 30,3174,Thörishaus,Daniel Wenker,031 889 07 75,d.wenker@wenkerbedachungen.ch,,,D,E,False,False,False,False,1.0,30.06.2023
Gerüstbaupraktiker/in EBA,Lawil Gerüstbau AG,Murtenstrasse 30,3202,Frauenkappelen,Philippe Mathys,031 920 00 30,west@lawil.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Gerüstbaupraktiker/in EBA,Wenker Bedachungen GmbH,Wittenmattstrasse 30,3174,Thörishaus,Daniel Wenker,031 889 07 75,d.wenker@wenkerbedachungen.ch,,,D,E,False,False,False,False,1.0,30.06.2023
Gipserpraktiker/in EBA,Kilchherr AG Malerei-Gipserei,Burgerstrasse 3,3600,Thun,Zekir Redzepi,033 225 12 00,info@kilchherr.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Gipserpraktiker/in EBA,Malerei - Gipserei Mäder AG,Hauptstrasse 13,2577,Finsterhennen,Matthias Mäder,079 206 24 87,info@gipser-maeder.ch,,Montag bis Donnerstag 08.30 - 15.30 Uhr,D,E,True,True,False,True,1.0,31.07.2023
Gipserpraktiker/in EBA,Staub + Hostettler AG Maler- + Gipsergeschäft,Laupenstrasse 13,3176,Neuenegg,Thomas Staub,031 741 01 30,info@staub-hostettler.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Gipserpraktiker/in EBA,Urspeter Siegrist AG,Meisenweg 4,3855,Brienz BE,Simon Siegrist,033 951 34 32,info@upsiegristag.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Bigler Maler und Gipser AG,Verladeplatz 5,3550,Langnau im Emmental,Christoph Wüthrich,034 408 35 50,office.langnau@biglerag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Frepa AG Gipserei,Südstrasse 8,3250,Lyss,Spendi Saliji,032 387 06 06,personal@frepa.ch,,,D,E,False,False,False,False,3.0,31.07.2023
Gipser/in-Trockenbauer EFZ,GALLO Baugeschäft AG,Freiburgstrasse 440,3018,Bern,,031 991 04 03,info@gallobau.ch,,,D,,False,False,False,False,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,GLB Seeland,,,,Max Heusser,032 387 41 13,mheusser@glb.ch,https://www.glb.ch/karriere#lehrstelle,,D,E,False,False,False,True,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Kilchherr AG Malerei-Gipserei,Burgerstrasse 3,3600,Thun,Zekir Redzepi,033 225 12 00,info@kilchherr.ch,,,D,E,True,False,False,True,2.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Malerei - Gipserei Mäder AG,Hauptstrasse 13,2577,Finsterhennen,Matthias Mäder,079 206 24 87,info@gipser-maeder.ch,,Montag bis Donnerstag 08.30 - 15.30 Uhr,D,E,True,True,False,True,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,PETER SPRING AG,Im Schoren 4,3645,GWATT (THUN),Philipp König,033 226 00 26,walker.ch@peterspring.ch,http://www.peterspring.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Rösch Malerei + Gipserei AG,C.K.Olympiastrasse 10,3714,Frutigen,Thomas Rösch,033 671 30 30,info@roesch-frutigen.ch,https://roesch-frutigen.ch/,,D,E,True,True,False,False,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Staub + Hostettler AG Maler- + Gipsergeschäft,Laupenstrasse 13,3176,Neuenegg,Thomas Staub,031 741 01 30,info@staub-hostettler.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Stefan Wüthrich,Worblentalstrasse 48,3063,Ittigen,Stefan Wüthrich,0319184096,stefan.wuethrich@tonypanittiag.ch,http://www.tonypanittiag.ch/,tagsüber,D,E,False,True,False,True,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,Urspeter Siegrist AG Gipsergeschäft,Meisenweg 4,3855,Brienz BE,Simon Siegrist,033 951 34 32,info@upsiegristag.ch,,,D,E,True,True,False,True,1.0,31.07.2023
Gipser/in-Trockenbauer EFZ,W. Dällenbach AG Gipser- + Malergeschäft,Freiestrasse 48,3604,Thun,Stefan Dällenbach,033 336 83 30,gipserei.malerei@daellenbach.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Gleisbauer/in EFZ,,,,,,,bewerbung@login.org,https://www.login.org/gleisbau-efz,,D,,True,False,False,False,1.0,
Gleisbauer/in EFZ,,,,,,,bewerbung@login.org,https://www.login.org/de,,D,,False,False,False,False,1.0,
Gleisbauer/in EFZ,,,,,,,bewerbung@login.org,https://www.login.org/gleisbau-efz,,D,,True,False,False,False,1.0,
Gleisbauer/in EFZ,,,,,,,region.romandie@login.org,https://www.login.org/fr,,F,,False,False,False,True,1.0,
Grundbauer/in EFZ,Stämpfli AG Bauunternehmung Personalbüro,Güterstrasse 5,3550,Langnau,Martin Schweizer,034 408 40 40,m.schweizer@staempfliag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Alters- und Pflegeheim Wattenwil Rachel Koller,Burgisteinstrasse 34,3665,Wattenwil,Rachel Koller,033 359 26 58,rachel.koller@aphw.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Altersheim Turmhuus,Turmgässli 1,3661,Uetendorf,Monika Leumann,033 346 51 70,monika.leumann@turmhuus.ch,,"Montag: 08.00 - 11.00 Uhr , Dienstag und Donnerstag: 08.00 - 16.00 Uhr",D,E,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Ville de Bienne - Stadt Biel Département du personnel - Abteilung Personelles,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Beatrix Müller,032 344 70 52,beatrix.mueller@az-redern.ch,https://www.biel-bienne.ch/,,D/F,,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Ville de Bienne - Stadt Biel Département du personnel - Abteilung Personelles,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Dominique Jimenez,032 344 20 70,info@betagtenheimried.ch,http://www.biel-bienne.ch/,,D/F,M,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Alterszentrum Scheidegg  ,Bernstrasse 45,3360,Herzogenbuchsee,Susanne Greub ,062 956 50 23,s.greub@azsh.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Domicil Bern AG Fachbereich Bildung,,,,Désirée Keller,031 352 30 62,bildung@domicilbern.ch,https://www.domicilbern.ch/arbeiten-bei-uns/ausbildung/,,D,,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Domicil Bern AG Bildung,,,,Ursula Schweizer,031 810 16 00,bildung@domicilbern.ch,https://www.domicilbern.ch/arbeiten-bei-uns/ausbildung/,,D,E,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Domicil Bern AG Bildung,,,,Ursula Schweizer,031 812 16 00,bildung@domicilbern.ch,https://www.domicilbern.ch/arbeiten-bei-uns/ausbildung/,,D,E,False,False,False,True,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Gemeindeverband Altersheim/Spitex Roggwil/Wynau Alterszentrum Spycher ,Sekundarschulstrasse 9,4914,Roggwil BE,Anita Hüsler,062 918 28 48,hr@alterszentrum-spycher.ch,,,D,,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Insel Gruppe AG Spital Riggisberg,,,,Céline Stucki,031 808 71 63,inselstellen@insel.ch,http://www.inselgruppe.ch/de/jobs-und-karriere/offene-stellen/?stellen=hauswirtschaft-efz,,D,M,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,SAZ Schulungs- und Arbeitszentrum für Behinderte,Burgergasse 7,3401,Burgdorf,Mathias Bösiger,0344276125,mathias.boesiger@sazburgdorf.ch,,,D,,False,False,False,True,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Schlössli Biel-Bienne AG Zentrum für Langzeitpflege,Mühlestrasse 11,2504,Biel,Valérie Kaltenrieder,032 344 08 37,bewerbung@schloessli-biel.ch,,Mo-Fr,D,E,False,False,False,True,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,SEEBURG,Untere Bönigstrasse 28,3800,Interlaken,Adrian Schmocker,033 845 84 00,berufsintegration@seeburg.ch,,,D,E,False,False,True,True,2.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Senevita Wydenpark,Wydenpark 5/5a,2557,Studen BE,Aurelia Ferrari,032 366 92 92,aurelia.ferrari@senevita.ch,http://www.senevita.ch/,,D,,False,False,False,False,2.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Altersbetreuung Worb,Bahnhofstrasse 1,3076,Worb,Naomi Bigler,031 838 17 23,Naomi.bigler@abworb.ch,,,D,,False,False,False,False,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Stiftung Bad Heustrich,Heustrichstrasse 2,3711,Emdthal,Arnold Sieber,033 655 80 40,info@badheustrich.ch,,,D,E,False,False,True,True,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Stiftung Lerchenbühl,Lerchenbühlweg 9,3401,Burgdorf,Regula Wittwer,0344286868,info@stlb.ch,,,D,E,False,False,True,True,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Stiftung WBM Frau Sibylle Käser,Unterdorfstrasse 62,4934,Madiswil,Sibylle Käser,062 957 99 12,info@wbm-madiswil.ch,,,D,E,False,False,True,True,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Eden Wohn- und Arbeitsintegration,Hünibachstrasse 32,3652,Hilterfingen,Manfred Oester,033 244 54 52,arbeiten@eden-integration.ch,,Montag - Mittwoch 8:00-17:00 und Freitag 8.00-17:00,D,E,False,False,True,True,1.0,31.07.2023
Hauswirtschaftspraktiker/in EBA,Wohnpark Buchegg Burgdorf AG,Bernstrasse 16,3400,Burgdorf,Ursula Marti,034 420 43 04,bewerbung@buchegg.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Adler Adelboden,Dorfstrasse 19,3715,Adelboden,Karin Fankhauser,033 673 41 41,karin@adleradelboden.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,CIP Centre interrégional de perfectionnement,Chemin des Lovières 13 13,2720,Tramelan,Claudine Németi,032 486 06 45,claudine.nemeti@cip-tramelan.ch,,,F,,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Eiger Selfness Hotel  Heller Gastro AG,Dorfstrasse  133,3818,Grindelwald,Nathalie Caetano,033 854 31 48,hrm@eiger-grindelwald.ch,,Montag - Samstag,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,HLS Hotels & Spa AG Hotel Beatus,Seestrasse 300,3658,Merligen,Karin Bigler,033 748 60 91,bewerbungen@beatus.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,HLS Hotels & Spa AG Hotel Ermitage,Dorfstrasse 46,3778,Schönried,Karin Bigler,033 748 60 91,bewerbungen@ermitage.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Hotel al ponte,Wangenstrasse 55,3380,Wangen an der Aare,Christine Bottinelli,032 636 54 54,christine.bottinelli@alponte.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Hotel Arc-en-ciel AG Tim Wetli,Egglistrasse 24,3780,Gstaad,Tim Wetli,033 748 43 43,t.wetli@arc-en-ciel.ch,,,D/F,E,False,False,False,True,1.0,31.07.2023
Hotelfachmann/frau EFZ,Hotel Gstaaderhof AG,Lauenenstrasse 19,3780,Gstaad,Christof Huber,033 748 63 63,work@gstaaderhof.ch,,Bürozeiten,D,E,True,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Hotel Kirchbühl AG Christian Brawand,Kirchbühlstrasse 23,3818,Grindelwald,Christian Brawand,033 854 40 80,christian.brawand@kirchbuehl.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Hotelfachmann/frau EFZ,Hotel Krone Thun,Obere Hauptgasse 2,3600,Thun,Janine Wolf,033 227 88 88,jw@krone-thun.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Lenkerhof gourmet spa resort Human Resources,Badstrasse 20,3775,Lenk im Simmental,Christian Burkhard,033 736 36 36,bewerbung@lenkerhof.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Hotel Sunstar Grindelwald,Dorfstrasse 168,3818,Grindelwald,Jeanette Busch,033 854 77 77,personal.grindelwald@sunstar.ch,,Mo - Do 08.00 Uhr bis 17.15 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,HotellerieSuisse Schulhotel Regina,Hubelweg 2,3800,Matten b. Interlaken,Lael Hänni,033 826 01 20,internat.regina@hotelleriesuisse.ch,,,D,,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,Kaufmann Hotel AG/Hotel Spinne Kaufmann Hotel AG/Central Hotel Wolter,Dorfstrasse 136,3818,Grindelwald,Hania Marsch,033 854 88 80,jobs@spinne.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Hotelfachmann/frau EFZ,KMA GmbH Boutique Hotel Auberge,Murgenthalstrasse 5,4900,Langenthal,Kathrin Spillmann,062 926 60 10,info@auberge-langenthal.ch,,Dienstag - Freitag,D,E,False,False,False,False,1.0,31.07.2023
Hotelfachmann/frau EFZ,SALZANO Hotel - Spa- Restaurant Sonja Salzano,Seestrasse 108,3800,IInterlaken-Unterseen,Sonja Salzano,033 821 00 70,sonja@salzano.ch,,,D,M,False,False,False,True,1.0,31.07.2023
Hotelfachmann/frau EFZ,SV (Schweiz) AG Seminarhotel Gerzensee,,,,Monika Stahel,,berufsbildung@sv-group.ch,https://jobs.sv-group.com/offene-stellen/lernender-hotelfachmann-efz-d-w-m/dbb1a574-de36-4bca-b6c5-2e9bfb9a93d7,,D,,False,False,False,True,1.0,31.07.2023
Hotelfachmann/frau EFZ,Ilak Mario,Dorfstrasse 7,3715,Adelboden,Schmid Stefanie,033 673 83 83,stefanie.schmid@thecambrianadelboden.com,http://www.thecambrianadelboden.com/,,D,E,False,False,False,True,2.0,31.07.2023
Hotelfachmann/frau EFZ,VICTORIA-JUNGFRAU Grand Hotel & Spa,Höheweg 41,3800,Interlaken,Oskar Schönbeck,033 828 26 78,hr@victoria-jungfrau.ch,,tagsüber,D,E,False,False,False,True,2.0,31.07.2023
Hotel-Kommunikationsfachmann/frau EFZ,"Martina Pfenninger Beck Bellevue Parkhotel & Spa, Bellevuestrasse 15",Bellevuestrasse 15,3715,Adelboden,Martina Pfenninger Beck,0336738000,hr@bellevue-parkhotel.ch,,Montag - Mittwoch,D,E,True,False,False,True,1.0,31.07.2023
Hotel-Kommunikationsfachmann/frau EFZ,Heller Gastro AG Eiger Selfness Hotel,Dorfstrasse 133,3818,Grindelwald,Nathalie Caetano,033 854 31 48,hrm@eiger-grindelwald.ch,,Montag - Samstag,D,E,False,False,False,False,1.0,31.07.2023
Hotel-Kommunikationsfachmann/frau EFZ,Hotel Gstaaderhof AG,Lauenenstrasse 19,3780,Gstaad,Christof Huber,033 748 63 63,work@gstaaderhof.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Hotel-Kommunikationsfachmann/frau EFZ,Hotel Kirchbühl AG z.Hd. Herrn Christian Brawand,Kirchbühlstrasse 23,3818,Grindelwald,Christian Brawand,033 854 40 80,christian.brawand@kirchbuehl.ch,,,D,,False,False,False,False,1.0,31.07.2023
Hotel-Kommunikationsfachmann/frau EFZ,Le Grand Bellevue SA,Untergstaadstrasse 11-21,3780,Gstaad,Michelle Gasser,0337480000,hr@bellevue-gstaad.ch,https://bellevue-gstaad.ch/,,D,,False,False,False,False,1.0,
Hotel-Kommunikationsfachmann/frau EFZ,Waldhotel Doldenhorn Patric Maeder,Doldenhornstrasse 26,3718,Kandersteg,Helene Grossen,033 675 81 81,admin@doldenhorn.ch,,,D,,False,False,False,False,1.0,31.07.2023
Hotellerieangestellter/Hotellerieangestellte EBA,Adler Adelboden,Dorfstrasse 19,3715,Adelboden,Karin Fankhauser,033 673 41 41,karin@adleradelboden.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotellerieangestellter/Hotellerieangestellte EBA,HLS Hotels & Spa AG Hotel Beatus,Seestrasse 300,3658,Merligen,Karin Bigler,0337486091,bewerbungen@beatus.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotellerieangestellter/Hotellerieangestellte EBA,HLS Hotels & Spa AG Hotel Ermitage,Dorfstrasse 46,3778,Schönried,Karin Bigler,0337486092,bewerbungen@ermitage.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Hotellerieangestellter/Hotellerieangestellte EBA,Hotel Kirchbühl Christian Brawand,Kirchbühlstrasse 23,3818,Grindelwald,Christian Brawand,033 854 40 80,christian.brawand@kirchbuehl.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotellerieangestellter/Hotellerieangestellte EBA,HotellerieSuisse Schulhotel Regina,Hubelweg 2,3800,Matten b. Interlaken,Lael Hänni,033 826 01 20,internat.regina@hotelleriesuisse.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Hotellerieangestellter/Hotellerieangestellte EBA,Kaufmann Hotel AG/Hotel Spinne & Central Hotel Wolter,Dorfstrasse 136,3818,Grindelwald,Hania Marsch,033 854 88 88,jobs@spinne.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Hotellerieangestellter/Hotellerieangestellte EBA,SEEBURG,Untere Bönigstrasse 28,3800,Interlaken,Adrian Schmocker,033 845 84 00,berufsintegration@seeburg.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Industrie- und Unterlagsbodenbauer/in EFZ,Biollay Spezialbau AG,Rehhagstrasse 3,3018,Bern,Migi Colaj,031 533 55 44,info@biollay-spezialbau.ch,https://www.biollay-spezialbau.ch/view/data/2209/Stelleninserate/Lehrstelle%20Bodenleger_08.22.pdf,,D,E,True,False,False,False,1.0,31.07.2023
Industrie- und Unterlagsbodenbaupraktiker/in EBA,Biollay Spezialbau AG,Rehhagstrasse 3,3018,Bern,,031 533 55 44,info@biollay-spezialbau.ch,,,D,,False,False,False,False,1.0,31.07.2023
Industrielackierer/in EFZ,Biral AG,Südstrasse 10,3110,Münsingen,Yannick Fegbli,0317209324,yannick.fegbli@biral.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Industrielackierer/in EFZ,Bunorm Maschinenbau AG,Industriestrasse 6,4912,Aarwangen,Michael Wieser,062 919 20 65,m_wieser@bunorm.ch,,Montag bis Freitag 7:00 - 16:00Uhr,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Adler Adelboden,Dorfstrasse 19,3715,Adelboden,Karin Fankhauser,033 673 41 41,karin@adleradelboden.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Alters- und Pflegeheim Wattenwil Alexis Crego,Burgisteinstrasse 34,3665,Wattenwil,Alexis Crego,033 359 26 56,alexis.crego@aphw.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Alters- und Pflegeheim La Lisière,Chemin de la Maison Blanche 1,2533,Evilard,Patrick Brägger,032 322 58 51,kuechenleitung@la-lisiere.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Stadt Biel - Ville de Bienne Abteilung Personelles - Département du personnel,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Patrick Rajkowski,032 560 10 67,kueche@aph-schuesspark.ch,https://www.biel-bienne.ch/,,D/F,M,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Stadt Biel / Ville de Bienne Abteilung Personelles / Département du personnel,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Bernhard Beutler,032 366 79 63,bernhard.beutler@az-cristal.ch,http://www.biel-bienne.ch/,,D/F,M,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Stadt Biel / Ville de Bienne Abteilung Personelles / Département du personnel,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Beatrix Müller,032 344 70 50,info@az-redern.ch,http://www.biel-bienne.ch/redern,,D/F,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Ville de Bienne/Stadt Biel Département du personnel / Abteilung Personelles,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Maria Steiner,032 344 20 73,m.steiner@betagtenheimried.ch,http://www.biel-bienne.ch/,,D/F,M,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Aux Trois Amis Marc Joshua Engel,Untergasse 17,2514,Ligerz,Marc Joshua Engel,0323151144,mail@aux3amis.ch,,Mittwoch bis Sonntag,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Landgasthof Bären Simon Haueter Küchenchef Stv.,Burgdorfstrasse 1,3423,Ersigen,Beat Basler,034 448 88 88,info@baeren-ersigen.ch,,Mittwoch bis Sonntag,D,E,False,False,False,False,1.0,15.07.2023
Koch/Köchin EFZ,Blinden- und Behindertenzentrum Bern HRM,,,,Dominique Von Niederhäusern,031 306 33 33,dominique.vonniederhaeusern@b-bern.ch,https://www.b-bern.ch/offene-stellen/,Montag - Donnerstag,D,E,True,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Bürgisweyerbad,Melchnaustrasse 40,4934,Madiswil,André Schreiber,062 965 26 31,buergisweyerbad@bluewin.ch,,Mittwoch bis Sonntag,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Domicil Bern AG Bereich Bildung,,,,Tobias Glanzmann,031 997 47 80,bildung@domicilbern.ch,http://www.domicilbern.ch/,,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Domicil Bern AG Bildung,,,,René Bühlmann,031 337 44 85,bildung@domicilbern.ch,http://www.domicilbern.ch/,,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Gasthof Bären Laupen Herr Andreas Schmid,Bärenplatz 5,3177,Laupen,Andreas Schmid,031 747 72 31,info@baeren-laupen.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Gasthof Bären Florian Schirmer,Bernstrasse 1,3250,Lyss,Florian Schirmer,032 384 13 29,info@baeren-lyss.ch,,Von 9:00 bis 14:00 Uhr und von 18:00 - 21:00 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Gasthof Schützen Steffisburg AG,Alte Bernstrasse 153,3613,Steffisburg,Evelyne Morf,0334394000,em@schuetzen-steffisburg.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Gasthof Sternen Murzelen AG Jakob Stämpfli,Murzelenstrasse 50,3034,Murzelen,Jakob Stämpfli,079 687 29 57,gutknechtsternen@bluewin.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Koch/Köchin EFZ,Seniorenzentrum Emme,Eystrasse 8,3422,Kirchberg BE,Thomas Bodack,034 447 97 97,thomas.bodack@seniorenzentrum-emme.ch,,,D,E,False,False,False,True,1.0,31.07.2023
